[2018-06-04 20:20:24,022] [WARNING] Not Found: /static/admin/js/vendor/jquery/jquery.js
[2018-06-04 20:20:24,071] [WARNING] Not Found: /static/admin/js/jquery.init.js
[2018-06-04 20:20:24,108] [WARNING] Not Found: /static/admin/js/admin/RelatedObjectLookups.js
[2018-06-04 20:20:24,147] [WARNING] Not Found: /static/admin/js/actions.js
[2018-06-04 20:20:24,170] [WARNING] Not Found: /static/admin/js/urlify.js
[2018-06-04 20:20:24,195] [WARNING] Not Found: /static/admin/js/prepopulate.js
[2018-06-04 20:20:24,221] [WARNING] Not Found: /static/admin/js/vendor/xregexp/xregexp.js
[2018-06-04 20:20:24,257] [WARNING] Not Found: /static/admin/img/tooltag-add.svg
font.woff
[2018-06-04 20:20:24,267] [WARNING] Not Found: /static/admin/fonts/Roboto-Light-webfont.woff
[2018-06-04 20:20:24,282] [WARNING] Not Found: /static/admin/fonts/Roboto-Regular-webfont.woff
[2018-06-04 20:20:37,455] [WARNING] Not Found: /static/admin/css/changelists.css
[2018-06-04 20:20:37,469] [WARNING] Not Found: /static/admin/js/vendor/jquery/jquery.js
[2018-06-04 20:20:37,478] [WARNING] Not Found: /static/admin/js/jquery.init.js
[2018-06-04 20:20:37,484] [WARNING] Not Found: /static/admin/js/core.js
[2018-06-04 20:20:37,485] [WARNING] Not Found: /static/admin/js/admin/RelatedObjectLookups.js
[2018-06-04 20:20:37,492] [WARNING] Not Found: /static/admin/js/actions.js
[2018-06-04 20:20:37,503] [WARNING] Not Found: /static/admin/js/prepopulate.js
[2018-06-04 20:20:37,514] [WARNING] Not Found: /static/admin/js/urlify.js
[2018-06-04 20:20:37,518] [WARNING] Not Found: /static/admin/js/vendor/xregexp/xregexp.js
[2018-06-04 20:20:37,548] [WARNING] Not Found: /static/admin/js/core.js
[2018-06-04 20:20:37,548] [WARNING] Not Found: /static/admin/img/search.svg
[2018-06-04 20:20:37,576] [WARNING] Not Found: /static/admin/js/vendor/jquery/jquery.js
[2018-06-04 20:20:37,609] [WARNING] Not Found: /static/admin/js/jquery.init.js
[2018-06-04 20:20:37,636] [WARNING] Not Found: /static/admin/js/admin/RelatedObjectLookups.js
[2018-06-04 20:20:37,676] [WARNING] Not Found: /static/admin/js/actions.js
[2018-06-04 20:20:37,710] [WARNING] Not Found: /static/admin/js/urlify.js
[2018-06-04 20:20:37,746] [WARNING] Not Found: /static/admin/js/prepopulate.js
[2018-06-04 20:20:37,779] [WARNING] Not Found: /static/admin/js/vendor/xregexp/xregexp.js
[2018-06-04 20:20:37,814] [WARNING] Not Found: /static/admin/img/tooltag-add.svg
[2018-06-04 20:20:37,814] [WARNING] Not Found: /static/admin/fonts/Roboto-Bold-webfont.woff
[2018-06-04 20:20:37,823] [WARNING] Not Found: /static/admin/fonts/Roboto-Light-webfont.woff
[2018-06-04 20:20:37,831] [WARNING] Not Found: /static/admin/fonts/Roboto-Regular-webfont.woff
[2018-06-04 20:20:39,839] [WARNING] Not Found: /static/admin/css/changelists.css
[2018-06-04 20:20:41,620] [WARNING] Not Found: /static/admin/css/changelists.css
[2018-06-04 20:21:22,149] [WARNING] Not Found: /static/admin/js/jquery.init.js
[2018-06-04 20:21:22,149] [WARNING] Not Found: /static/admin/js/vendor/jquery/jquery.js
[2018-06-04 20:21:22,156] [WARNING] Not Found: /static/admin/js/actions.js
[2018-06-04 20:21:22,157] [WARNING] Not Found: /static/admin/css/changelists.css
[2018-06-04 20:21:22,165] [WARNING] Not Found: /static/admin/js/core.js
[2018-06-04 20:21:22,175] [WARNING] Not Found: /static/admin/js/admin/RelatedObjectLookups.js
[2018-06-04 20:21:22,191] [WARNING] Not Found: /static/admin/js/urlify.js
[2018-06-04 20:21:22,192] [WARNING] Not Found: /static/admin/js/prepopulate.js
[2018-06-04 20:21:22,195] [WARNING] Not Found: /static/admin/js/vendor/xregexp/xregexp.js
[2018-06-04 20:21:22,204] [WARNING] Not Found: /static/admin/js/vendor/jquery/jquery.js
